,mean_abs_deltaPk_filtered,mean_abs_deltaPk_filtered,max_abs_deltaPk_filtered,max_abs_deltaPk_filtered,mean_abs_local_cfc_correction,mean_abs_local_cfc_correction,cfc_correction_std,cfc_correction_std,n_voids,n_voids
,mean,std,mean,std,mean,std,mean,std,mean,std
xi,,,,,,,,,,
0.01,0.001682289051418915,0.00017461364490553176,0.0104975415335904,0.0011057648329096167,0.0001402755369426476,1.8443745216001693e-05,0.0005410831830567559,1.3602620208964379e-05,309.5,13.435028842544403
0.03,0.00508421993611894,0.0005295219876860177,0.031844489132184656,0.0033708694982413434,0.00042082661082794276,5.533123564800505e-05,0.0016232495491702676,4.08078606268931e-05,309.5,13.435028842544403
0.05,0.008535954529968366,0.0008920050677592259,0.05366058943933045,0.005707407496257271,0.0007013776847132379,9.22187260800085e-05,0.00270541591528378,6.801310104482192e-05,309.5,13.435028842544403
0.1,0.017383182242120557,0.0018313522435976155,0.1102533833071071,0.011861273321789167,0.0014027553694264758,0.000184437452160017,0.00541083183056756,0.00013602620208964385,309.5,13.435028842544403
0.2,0.03601145721297641,0.0038520729195120687,0.23223558432799896,0.025508379960677993,0.0028055107388529517,0.000368874904320034,0.01082166366113512,0.0002720524041792877,309.5,13.435028842544403
